,rank,name,net_worth,bday,age,nationality,day-bday,month_bday,year_bday,billion
67,68,Wang Wei,$22 Billion,1-Dec-70,52,China,1,Dec,70,22.0
42,43,Li Ka-shing,$31 Billion,29-Jul-28,94,Canada,29,Jul,28,31.0
26,27,David Thomson,$50 Billion,12-Jun-57,65,Canada,12,Jun,57,50.0
46,47,Sultan of Brunei,$30 Billion,15-Jul-46,76,Brunei,15,Jul,46,30.0
62,63,Jorge Paulo Lemann,$23 Billion,26-Aug-39,83,Brazil,26,Aug,39,23.0
56,57,Joseph Safra,$25 Billion,1-Sep-38,84,Brazil,1,Sep,38,25.0
82,83,Eduardo Saverin,$19 Billion,19-Mar-82,40,Brazil,19,Mar,82,19.0
43,44,Gina Rinehart,$31 Billion,9-Feb-54,68,Australia,9,Feb,54,31.0
77,78,Rupert Murdoch,$20 Billion,11-Mar-31,91,Australia,11,Mar,31,20.0
38,39,Miriam Adelson,$34 Billion,10-Oct-45,76,"American, Israeli",10,Oct,45,34.0
